Time,Susceptible,Infected,Recovered/Deaths,Country
2020-04-23,4780681,1868508,1000963,Sierra Leone
2020-04-24,4681910,1919502,1048741,Sierra Leone
2020-04-25,4582611,1969748,1097794,Sierra Leone
2020-04-26,4482956,2019094,1148103,Sierra Leone
2020-04-27,4383121,2067387,1199645,Sierra Leone
2020-04-28,4376463,2070565,1203124,Sierra Leone
2020-02-28,5551517,46758,40400,Singapore
2020-02-29,5545989,50997,41688,Singapore
2020-03-01,5539967,55614,43094,Singapore
2020-03-02,5533408,60640,44626,Singapore
2020-03-03,5526266,66112,46296,Singapore
2020-03-04,5518490,72067,48118,Singapore
2020-03-05,5510027,78545,50103,Singapore
2020-03-06,5500821,85587,52266,Singapore
2020-03-07,5490813,93238,54624,Singapore
2020-03-08,5479932,101551,57191,Singapore
2020-03-09,5468106,110582,59987,Singapore
2020-03-10,5455256,120388,63030,Singapore
2020-03-11,5441299,131034,66342,Singapore
2020-03-12,5426145,142582,69947,Singapore
2020-03-13,5409703,155102,73870,Singapore
2020-03-14,5391873,168665,78137,Singapore
2020-03-15,5372552,183345,82778,Singapore
2020-03-16,5351633,199219,87822,Singapore
2020-03-17,5329003,216369,93303,Singapore
2020-03-18,5304543,234878,99254,Singapore
2020-03-19,5278131,254834,105710,Singapore
2020-03-20,5249688,276281,112706,Singapore
2020-03-21,5219121,299274,120280,Singapore
2020-03-22,5186231,323962,128482,Singapore
2020-03-23,5150830,350482,137363,Singapore
2020-03-24,5112745,378954,146976,Singapore
2020-03-25,5071816,409483,157375,Singapore
2020-03-26,5027900,442160,168615,Singapore
2020-03-27,4980865,477059,180751,Singapore
2020-03-28,4930596,514239,193840,Singapore
2020-03-29,4876990,553745,207940,Singapore
2020-03-30,4819961,595604,223109,Singapore
2020-03-31,4759436,639831,239408,Singapore
2020-04-01,4695355,686424,256896,Singapore
2020-04-02,4627673,735364,275637,Singapore
2020-04-03,4556362,786619,295693,Singapore
2020-04-04,4481405,840142,317127,Singapore
2020-04-05,4402801,895869,340005,Singapore
2020-04-06,4320533,953753,364388,Singapore
2020-04-07,4234489,1013880,390305,Singapore
2020-04-08,4144866,1075995,417813,Singapore
2020-04-09,4051927,1139780,446968,Singapore
2020-04-10,3955942,1204917,477815,Singapore
2020-04-11,3857189,1271093,510393,Singapore
2020-04-12,3755953,1337993,544729,Singapore
2020-04-13,3678571,1388456,571647,Singapore
2020-04-14,3573695,1455876,609103,Singapore
2020-04-15,3467157,1523167,648351,Singapore
2020-04-16,3359267,1590024,689384,Singapore
2020-04-17,3250345,1656139,732191,Singapore
2020-04-18,3140717,1721211,776747,Singapore
2020-04-19,3030717,1784936,823022,Singapore
